u,beat,camax
10.5,165,1.2071431240558306
10.5,166,3.2764480373074827
10.5,167,1.2012136855952755
10.5,168,3.268561967595881
10.5,169,1.2127885452725777
10.5,170,3.1309870362108563
10.5,171,1.209643376008549
10.5,172,3.1503141826601255
10.5,173,1.2053663578498777
10.5,174,3.1977020225277384
10.5,175,1.1989221125400746
10.5,176,3.2972011774979295
10.5,177,1.2158997377223608
10.5,178,3.185089818657168
10.5,179,1.2035492347794852
10.5,180,3.151965387787383
10.5,181,1.2014834143296669
10.5,182,3.1500455563324503
10.5,183,1.2104692494811593
10.5,184,3.1863143176383226
10.5,185,1.2073795877328195
10.5,186,3.205920787123174
10.5,187,1.2067815617412752
10.5,188,3.283391953838478
10.5,189,1.2193230897608938
10.5,190,3.191646184006026
10.5,191,1.2106071156882159
10.5,192,3.158263162369327
10.5,193,1.201078240246401
10.5,194,3.220031980603817
10.5,195,1.2055826865218247
10.5,196,3.187637640821432
10.5,197,1.2100482489942632
10.5,198,3.126898575583904
10.5,199,1.2088413104552433
10.5,200,3.180690141911649
